year,home_team_name,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,day_sin,day_cos,month_sin,month_cos,noon,mid_afternoon,late_afternoon,evening,avg_season_attendance_prev
2010,Chargers,67820.0,0.914570831366732,66780.0,False,False,False,False,2.0,2.0,34,7,374,192,0,1,0.793513817840923,0.2000333356332676,-1.3764693357165034,-2.01805719557374,-1.909542529917442,-0.3797772626563749,0.43388373911755823,-0.900968867902419,-0.587785252292473,-0.8090169943749476,False,False,True,False,67543.125
2010,Rams,55669.0,0.7653569071711395,53005.0,False,False,False,False,2.0,2.0,13,27,224,383,2,1,0.3083887692122492,-0.6582450581245964,-0.0449982001079928,0.8761124852690824,0.7985018820171673,-0.4907585445456717,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,55237.625
2010,Bengals,56342.0,0.6147316509006797,59963.0,False,False,False,False,0.0,2.0,19,17,397,278,0,0,-0.0062314630045229,0.9648024168074504,-1.2368762768692687,0.13854208205862,0.1812648514664105,-1.269525498387274,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,64004.0
2010,Colts,67147.0,0.7306608341766504,67471.0,False,False,False,False,1.0,2.0,34,24,376,356,0,2,0.8204948392318936,0.1753839641720616,-1.3693063937629153,0.5657151328163761,0.2398656495725875,0.6305382891081346,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,66549.75
2010,Dolphins,65511.0,0.7268742995994542,65942.0,False,False,False,False,2.0,1.0,14,17,326,282,2,1,-1.027758020989183,-0.1416253332585258,0.1237459783210557,0.0930026937007015,0.103775234348086,-0.8539125638299666,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,67542.75
2010,Titans,69143.0,0.7630330184514876,69143.0,False,False,False,False,0.0,1.0,31,17,359,323,1,1,0.7279237761480256,0.0868820856713271,-0.6995814127978606,-0.9344149127854716,-0.8416544032075408,-0.7500000000000001,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,69143.0
2010,Buccaneers,47692.0,0.5122608779712355,53955.0,False,False,False,False,1.0,1.0,20,23,403,433,0,0,0.4904471220538631,1.0637987226643215,-1.688778755257931,0.6734193555129983,1.7503160199019652,-1.5704317459044823,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,65649.25
2010,Cowboys,86904.0,0.826704464379144,85673.0,False,False,False,False,1.0,0.0,33,30,434,341,0,3,1.0874215040937278,0.5063817829787269,-1.0173382250855334,1.4688345292686509,0.4325403472413255,0.9316949906249123,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,89756.875
2010,Giants,81223.0,0.7726619800039954,78861.0,False,False,False,True,3.0,2.0,31,38,364,418,2,3,0.4831669353893126,-0.0236982794014889,0.0449982001079928,0.9736393264674515,0.8304486718144625,1.2920284853042547,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,78701.875
2010,Ravens,71432.0,0.7676237964236589,71418.0,False,True,False,True,2.0,3.0,30,24,356,269,0,1,0.5170691308216,0.0471652912341274,-1.1982978434091365,-0.6756483820050184,-1.8562285663823528,-0.5393962141710572,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,71082.5
2010,Panthers,71849.0,0.7903397903397903,71235.0,False,False,False,True,0.0,1.0,19,12,303,218,1,2,-0.0683088402131742,-0.3425434104938568,-0.4651302547095317,-1.1916056002943245,-1.6834768307765622,-0.1305582419667733,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,73289.25
2010,Seahawks,67101.0,0.728171459576777,66577.0,False,False,False,False,1.0,3.0,18,34,234,266,3,1,0.0482018679549811,-0.965111445255416,0.8592143613796792,1.184814823006353,-1.0351466604902075,-0.5143837014666142,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,67392.625
2010,Raiders,44246.0,0.5052528205362444,48946.0,False,False,False,False,1.0,0.0,39,23,502,235,3,1,3.75065832424073,2.6102233391819945,0.7935138178409231,0.2553039753257305,-1.285612465901622,-0.400076212251811,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,44284.5
2010,Steelers,62568.0,0.6545112192060254,57501.0,False,False,False,True,3.0,1.0,17,22,378,276,0,0,-0.6736330697086078,0.062742613230391,-1.428843615185039,0.0282948366257077,-0.6232152996110852,-0.9725780543220576,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,63485.25
2010,Patriots,68756.0,0.7388827992348529,68756.0,False,False,False,True,3.0,1.0,31,27,249,369,0,2,0.3802413822753405,-1.589848873732878,-1.5535648778815885,-0.2393117264549057,-0.1427159607110432,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,False,True,False,68756.0
2010,Vikings,40504.0,0.4441812519191122,45910.0,False,False,False,False,2.0,2.0,14,40,273,293,5,1,-1.6529710034128475,-1.2795179133761818,4.806345965331827,1.6409023993634586,-0.2435765407785672,-0.6056796398154362,0.0,1.0,-0.587785252292473,-0.8090169943749476,False,False,True,False,63775.375
2010,Steelers,61748.0,0.6459333647157278,62568.0,False,False,False,False,2.0,1.0,27,3,408,119,2,2,0.4490887131390719,0.3442048034227997,0.4000762122518109,-1.6580418488106845,-2.5885296031306373,0.0310086836473021,0.43388373911755823,-0.900968867902419,-0.587785252292473,-0.8090169943749476,False,False,True,False,63485.25
2010,Cardinals,66971.0,0.7815680141910186,62223.0,False,False,False,True,1.0,2.0,27,26,271,382,0,3,0.3711558427146256,-0.97744896109381,-1.1750241777009605,0.3581328306895511,-0.2541049380290363,1.5527793961831826,-0.9749279121818236,-0.2225209339563146,-0.587785252292473,-0.8090169943749476,False,False,True,False,63142.875
2010,Rams,52820.0,0.7261878574571051,55669.0,False,False,False,False,1.0,1.0,25,17,335,331,1,2,2.102650699174427,0.6612168191093576,-0.7649694018358776,-0.5369142997398023,0.7783198666245776,0.3797772626563749,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,55237.625
2010,Bears,62310.0,0.6880977096539082,62347.0,False,False,False,True,2.0,1.0,38,34,322,393,1,2,1.4731424096521786,0.1644361484678414,-0.6056796398154362,1.386446994659679,0.9971444793777364,0.0648385369548038,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,62250.0
2010,Bills,68281.0,0.7549449941953673,50861.0,False,False,False,True,2.0,3.0,3,34,369,348,7,0,-1.3950404055105237,1.2149685129060532,5.001487873861233,0.6447571264668818,-0.5286096760957609,-1.5535648778815885,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,67808.125
2010,Browns,65028.0,0.7936438195664909,64463.0,False,False,False,True,1.0,2.0,10,20,280,258,4,1,-0.4361509990734336,0.2016173961924637,1.351430369250969,-0.41249335155431,-0.9132915484426504,-0.3268085027479463,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,68888.75
2010,Chiefs,65606.0,0.7033761109860303,67267.0,False,False,False,False,2.0,1.0,34,14,458,270,2,2,1.5871602994005116,1.548856038963605,0.223072065702578,-0.6664090908397418,-0.9355979969399943,0.0466387608531907,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,67514.25
2010,Dolphins,66731.0,0.7404107537142033,65511.0,False,False,False,False,1.0,2.0,27,34,425,275,3,0,0.5441071875825086,1.0709937363712307,0.7837245293666866,1.7915496061760896,-0.313489436400352,-1.5704317459044823,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,67542.75
2010,Jaguars,63470.0,0.6992629479877048,62570.0,False,False,False,False,2.0,0.0,17,20,336,251,2,1,-0.1083284296882422,-0.0069414496660877,0.6305382891081346,0.3706404886939586,-0.9333765387839128,-0.5590169943749475,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,49651.75
