year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Green Bay Packers,13,73295.0,False,,,,False,True,False
2000,Green Bay Packers,14,66944.0,False,,,,False,True,False
2000,Green Bay Packers,15,59854.0,True,,,,False,True,False
2000,Green Bay Packers,16,64183.0,False,,,,False,True,False
2000,Green Bay Packers,17,59692.0,True,,,,False,True,False
2000,Indianapolis Colts,1,78357.0,False,,,,True,False,False
2000,Indianapolis Colts,2,56769.0,True,,,,True,False,False
2000,Indianapolis Colts,3,,,,,,True,False,False
2000,Indianapolis Colts,4,56816.0,True,,,,True,False,False
2000,Indianapolis Colts,5,72617.0,False,,,,True,False,False
2000,Indianapolis Colts,6,60292.0,False,,,,False,True,False
2000,Indianapolis Colts,7,63593.0,False,,,,False,True,False
2000,Indianapolis Colts,8,56828.0,True,,,,False,True,False
2000,Indianapolis Colts,9,56971.0,True,,,,False,True,False
2000,Indianapolis Colts,10,66944.0,False,,,,False,False,True
2000,Indianapolis Colts,11,56657.0,True,,,,False,False,True
2000,Indianapolis Colts,12,59869.0,False,,,,False,True,False
2000,Indianapolis Colts,13,56935.0,True,,,,False,False,True
2000,Indianapolis Colts,14,78138.0,False,,,,False,True,False
2000,Indianapolis Colts,15,56671.0,True,,,,False,True,False
2000,Indianapolis Colts,16,73884.0,False,,,,True,False,False
2000,Indianapolis Colts,17,56672.0,True,,,,False,True,False
2000,Jacksonville Jaguars,1,72418.0,False,,,,True,False,False
2000,Jacksonville Jaguars,2,68843.0,False,,,,True,False,False
2000,Jacksonville Jaguars,3,45653.0,True,,,,True,False,False
2000,Jacksonville Jaguars,4,56816.0,False,,,,True,False,False
2000,Jacksonville Jaguars,5,64351.0,True,,,,False,True,False
2000,Jacksonville Jaguars,6,65194.0,True,,,,False,True,False
2000,Jacksonville Jaguars,7,68498.0,False,,,,False,True,False
2000,Jacksonville Jaguars,8,69061.0,True,,,,True,False,False
2000,Jacksonville Jaguars,9,63554.0,False,,,,True,False,False
2000,Jacksonville Jaguars,10,,,,,,True,False,False
2000,Jacksonville Jaguars,11,68063.0,True,,,,True,False,False
2000,Jacksonville Jaguars,12,50925.0,False,,,,True,False,False
2000,Jacksonville Jaguars,13,65454.0,True,,,,True,False,False
2000,Jacksonville Jaguars,14,51262.0,True,,,,False,True,False
2000,Jacksonville Jaguars,15,53472.0,True,,,,False,True,False
2000,Jacksonville Jaguars,16,50469.0,False,,,,False,False,True
2000,Jacksonville Jaguars,17,77924.0,False,,,,False,False,True
2000,Kansas City Chiefs,1,78357.0,True,,,,True,False,False
2000,Kansas City Chiefs,2,68203.0,False,,,,True,False,False
2000,Kansas City Chiefs,3,77604.0,True,,,,True,False,False
2000,Kansas City Chiefs,4,74596.0,False,,,,True,False,False
2000,Kansas City Chiefs,5,82893.0,True,,,,True,False,False
2000,Kansas City Chiefs,6,,,,,,False,True,False
2000,Kansas City Chiefs,7,79025.0,True,,,,False,True,False
2000,Kansas City Chiefs,8,79142.0,True,,,,False,True,False
2000,Kansas City Chiefs,9,62141.0,False,,,,False,True,False
