year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,3,New England Patriots,Minnesota Vikings,Minnesota Vikings,,Sun,September 17,4:15PM,21,13,315,2,267,1,New England,Minnesota,60292.0,Gillette Stadium,66829,0.9021831839470889
2000,3,Miami Dolphins,Baltimore Ravens,Miami Dolphins,,Sun,September 17,8:36PM,19,6,258,1,262,1,Miami,Baltimore,73464.0,Hard Rock Stadium,65326,1.1245752074212412
2000,3,Washington Redskins,Dallas Cowboys,Dallas Cowboys,,Mon,September 18,9:01PM,27,21,332,2,331,2,Washington,Dallas,84431.0,Commanders Field,62000,1.3617903225806451
2000,4,Pittsburgh Steelers,Tennessee Titans,Tennessee Titans,,Sun,September 24,1:01PM,23,20,372,3,364,1,Pittsburgh,Tennessee,51769.0,Acrisure Stadium,68400,0.7568567251461988
2000,4,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,,Sun,September 24,1:02PM,37,0,391,1,94,4,Baltimore,Cincinnati,68481.0,M&T Bank Stadium,71008,0.9644124605678234
2000,4,Chicago Bears,Detroit Lions,Detroit Lions,,Sun,September 24,1:02PM,21,14,274,1,401,5,Chicago,Detroit,66944.0,Soldier Field,61500,1.088520325203252
2000,4,New Orleans Saints,Philadelphia Eagles,Philadelphia Eagles,,Sun,September 24,1:02PM,21,7,268,2,287,4,New Orleans,Philadelphia,64900.0,Caesars Superdome,73208,0.8865151349579281
2000,4,Atlanta Falcons,St. Louis Rams,St. Louis Rams,,Sun,September 24,1:02PM,41,20,395,2,286,4,Atlanta,St. Louis,58761.0,Mercedes Benz Stadium,71000,0.8276197183098591
2000,4,Miami Dolphins,New England Patriots,Miami Dolphins,,Sun,September 24,1:03PM,10,3,242,3,210,2,Miami,New England,73344.0,Hard Rock Stadium,65326,1.1227382665401218
2000,4,Dallas Cowboys,San Francisco 49ers,San Francisco 49ers,,Sun,September 24,1:05PM,41,24,439,0,298,3,Dallas,San Francisco,64127.0,AT&T Stadium,80000,0.8015875
2000,4,Arizona Cardinals,Green Bay Packers,Green Bay Packers,,Sun,September 24,4:06PM,29,3,455,1,209,4,Arizona,Green Bay,71801.0,State Farm Stadium,63400,1.1325078864353313
2000,4,Tampa Bay Buccaneers,New York Jets,New York Jets,,Sun,September 24,4:15PM,21,17,296,3,239,4,Tampa Bay,New York,65619.0,Raymond James Stadium,69218,0.9480048542286689
2000,4,San Diego Chargers,Seattle Seahawks,Seattle Seahawks,,Sun,September 24,4:15PM,20,12,269,2,303,2,San Diego,Seattle,47233.0,San Diego Stadium,71500,0.6606013986013985
2000,4,Denver Broncos,Kansas City Chiefs,Kansas City Chiefs,,Sun,September 24,4:16PM,23,22,294,3,342,3,Denver,Kansas City,74596.0,Empower Field at Mile High,76125,0.9799146141215107
2000,4,Oakland Raiders,Cleveland Browns,Oakland Raiders,,Sun,September 24,4:17PM,36,10,292,0,230,2,Oakland,Cleveland,45702.0,Allegiant Stadium,65000,0.7031076923076923
2000,4,New York Giants,Washington Redskins,Washington Redskins,,Sun,September 24,8:37PM,16,6,394,0,261,1,New York,Washington,78216.0,MetLife Stadium,82500,0.9480727272727273
2000,4,Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,,Mon,September 25,9:00PM,43,14,533,1,286,2,Indianapolis,Jacksonville,56816.0,Lucas Oil Stadium,67000,0.848
2000,5,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,,Sun,October 1,1:01PM,18,16,265,1,385,0,Buffalo,Indianapolis,72617.0,Highmark Stadium,71608,1.0140906044017428
2000,5,Detroit Lions,Minnesota Vikings,Minnesota Vikings,,Sun,October 1,1:01PM,31,24,439,0,355,1,Detroit,Minnesota,76438.0,Ford Field,65000,1.1759692307692309
2000,5,Carolina Panthers,Dallas Cowboys,Dallas Cowboys,,Sun,October 1,1:02PM,16,13,291,2,272,2,Carolina,Dallas,73310.0,Bank of America Stadium,74867,0.979203120199821
2000,5,St. Louis Rams,San Diego Chargers,St. Louis Rams,,Sun,October 1,1:02PM,57,31,614,0,381,2,St. Louis,San Diego,66010.0,SoFi Stadium,70240,0.9397779043280182
2000,5,Tennessee Titans,New York Giants,Tennessee Titans,,Sun,October 1,1:03PM,28,14,436,1,215,4,Tennessee,New York,68341.0,Nissan Stadium,69143,0.9884008504114661
2000,5,Cleveland Browns,Baltimore Ravens,Baltimore Ravens,,Sun,October 1,1:03PM,12,0,348,1,230,4,Cleveland,Baltimore,73018.0,Huntington Bank Field,67895,1.075454746299433
2000,5,Jacksonville Jaguars,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 1,1:03PM,24,13,332,3,206,2,Jacksonville,Pittsburgh,64351.0,TIAA Bank Field,67246,0.9569491122148529
2000,5,Cincinnati Bengals,Miami Dolphins,Miami Dolphins,,Sun,October 1,4:05PM,31,16,302,2,350,1,Cincinnati,Miami,61535.0,Paycor Stadium,65515,0.9392505533084027
2000,5,Denver Broncos,New England Patriots,New England Patriots,,Sun,October 1,4:06PM,28,19,314,1,405,2,Denver,New England,75684.0,Empower Field at Mile High,76125,0.9942068965517241
2000,5,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,,Sun,October 1,4:15PM,27,20,345,1,365,2,San Francisco,Arizona,66985.0,Levi's Stadium,68500,0.9778832116788321
2000,5,Green Bay Packers,Chicago Bears,Chicago Bears,,Sun,October 1,4:15PM,27,24,370,0,364,3,Green Bay,Chicago,59869.0,Lambeau Field,81441,0.7351211306344471
2000,5,Washington Redskins,Tampa Bay Buccaneers,Washington Redskins,,Sun,October 1,4:15PM,20,17,330,1,255,2,Washington,Tampa Bay,83532.0,Commanders Field,62000,1.3472903225806452
2000,5,Philadelphia Eagles,Atlanta Falcons,Philadelphia Eagles,,Sun,October 1,8:36PM,38,10,502,3,200,1,Philadelphia,Atlanta,65424.0,Lincoln Financial Field,69596,0.9400540260934537
2000,5,Kansas City Chiefs,Seattle Seahawks,Kansas City Chiefs,,Mon,October 2,9:00PM,24,17,378,0,289,2,Kansas City,Seattle,82893.0,Arrowhead Stadium,76416,1.0847597361809045
2000,6,Cincinnati Bengals,Tennessee Titans,Tennessee Titans,,Sun,October 8,1:00PM,23,14,417,2,213,2,Cincinnati,Tennessee,63406.0,Paycor Stadium,65515,0.9678088987254827
2000,6,New York Jets,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 8,1:01PM,20,3,330,0,206,4,New York,Pittsburgh,78441.0,MetLife Stadium,82500,0.9508
2000,6,Detroit Lions,Green Bay Packers,Detroit Lions,,Sun,October 8,1:01PM,31,24,253,1,339,5,Detroit,Green Bay,77549.0,Ford Field,65000,1.1930615384615384
2000,6,New England Patriots,Indianapolis Colts,New England Patriots,,Sun,October 8,1:02PM,24,16,301,0,408,3,New England,Indianapolis,60292.0,Gillette Stadium,66829,0.9021831839470889
2000,6,Miami Dolphins,Buffalo Bills,Miami Dolphins,,Sun,October 8,1:02PM,22,13,254,1,254,2,Miami,Buffalo,73901.0,Hard Rock Stadium,65326,1.1312647337966506
2000,6,Philadelphia Eagles,Washington Redskins,Washington Redskins,,Sun,October 8,1:02PM,17,14,407,2,274,4,Philadelphia,Washington,65491.0,Lincoln Financial Field,69596,0.9410167250991436
2000,6,Chicago Bears,New Orleans Saints,New Orleans Saints,,Sun,October 8,1:03PM,31,10,403,1,245,3,Chicago,New Orleans,66944.0,Soldier Field,61500,1.088520325203252
2000,6,San Francisco 49ers,Oakland Raiders,Oakland Raiders,,Sun,October 8,4:00PM,34,28,471,2,472,2,San Francisco,Oakland,68344.0,Levi's Stadium,68500,0.9977226277372263
2000,6,Atlanta Falcons,New York Giants,New York Giants,,Sun,October 8,4:05PM,13,6,255,2,238,3,Atlanta,New York,50947.0,Mercedes Benz Stadium,71000,0.7175633802816901
2000,6,Carolina Panthers,Seattle Seahawks,Carolina Panthers,,Sun,October 8,4:15PM,26,3,447,1,209,0,Carolina,Seattle,72192.0,Bank of America Stadium,74867,0.9642699720838287
2000,6,San Diego Chargers,Denver Broncos,Denver Broncos,,Sun,October 8,4:15PM,21,7,304,0,277,3,San Diego,Denver,56079.0,San Diego Stadium,71500,0.7843216783216783
2000,6,Arizona Cardinals,Cleveland Browns,Arizona Cardinals,,Sun,October 8,4:15PM,29,21,315,2,240,0,Arizona,Cleveland,44296.0,State Farm Stadium,63400,0.6986750788643533
2000,6,Jacksonville Jaguars,Baltimore Ravens,Baltimore Ravens,,Sun,October 8,8:35PM,15,10,194,1,348,6,Jacksonville,Baltimore,65194.0,TIAA Bank Field,67246,0.9694851738393362
2000,6,Minnesota Vikings,Tampa Bay Buccaneers,Minnesota Vikings,,Mon,October 9,9:10PM,30,23,322,2,346,3,Minnesota,Tampa Bay,64162.0,U.S. Bank Stadium,66655,0.9625984547295777
2000,7,Kansas City Chiefs,Oakland Raiders,Oakland Raiders,,Sun,October 15,1:00PM,20,17,391,1,346,1,Kansas City,Oakland,79025.0,Arrowhead Stadium,76416,1.0341420644891122
2000,7,Buffalo Bills,San Diego Chargers,Buffalo Bills,,Sun,October 15,1:01PM,27,24,424,2,303,4,Buffalo,San Diego,72351.0,Highmark Stadium,71608,1.010375935649648
2000,7,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,,Sun,October 15,1:01PM,15,0,274,0,232,3,Pittsburgh,Cincinnati,54328.0,Acrisure Stadium,68400,0.7942690058479532
2000,7,Washington Redskins,Baltimore Ravens,Washington Redskins,,Sun,October 15,1:01PM,10,3,246,2,199,1,Washington,Baltimore,83252.0,Commanders Field,62000,1.342774193548387
2000,7,St. Louis Rams,Atlanta Falcons,St. Louis Rams,,Sun,October 15,1:02PM,45,29,529,1,259,1,St. Louis,Atlanta,66019.0,SoFi Stadium,70240,0.9399060364464692
2000,7,New York Giants,Dallas Cowboys,New York Giants,,Sun,October 15,1:03PM,19,14,311,0,269,5,New York,Dallas,78189.0,MetLife Stadium,82500,0.9477454545454546
2000,7,New Orleans Saints,Carolina Panthers,New Orleans Saints,,Sun,October 15,1:04PM,24,6,397,3,141,2,New Orleans,Carolina,50015.0,Caesars Superdome,73208,0.6831903617091029
2000,7,Seattle Seahawks,Indianapolis Colts,Indianapolis Colts,,Sun,October 15,4:05PM,37,24,499,1,317,3,Seattle,Indianapolis,63593.0,Lumen Field,69000,0.9216376811594202
2000,7,New England Patriots,New York Jets,New York Jets,,Sun,October 15,4:05PM,34,17,294,1,249,6,New England,New York,60292.0,Gillette Stadium,66829,0.9021831839470889
2000,7,Denver Broncos,Cleveland Browns,Denver Broncos,,Sun,October 15,4:06PM,44,10,499,0,278,3,Denver,Cleveland,75811.0,Empower Field at Mile High,76125,0.9958752052545156
2000,7,Arizona Cardinals,Philadelphia Eagles,Philadelphia Eagles,,Sun,October 15,4:15PM,33,14,391,0,305,3,Arizona,Philadelphia,38293.0,State Farm Stadium,63400,0.6039905362776026
2000,7,Green Bay Packers,San Francisco 49ers,Green Bay Packers,,Sun,October 15,4:15PM,31,28,378,0,414,0,Green Bay,San Francisco,59870.0,Lambeau Field,81441,0.7351334094620645
2000,7,Chicago Bears,Minnesota Vikings,Minnesota Vikings,,Sun,October 15,8:35PM,28,16,368,1,294,0,Chicago,Minnesota,66944.0,Soldier Field,61500,1.088520325203252
2000,7,Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,,Mon,October 16,9:10PM,27,13,409,1,304,2,Tennessee,Jacksonville,68498.0,Nissan Stadium,69143,0.9906715068770519
2000,8,Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,,Sun,October 22,1:00PM,48,7,347,0,276,3,Dallas,Arizona,62981.0,AT&T Stadium,80000,0.7872625
2000,8,Indianapolis Colts,New England Patriots,Indianapolis Colts,,Sun,October 22,1:00PM,30,23,398,1,386,1,Indianapolis,New England,56828.0,Lucas Oil Stadium,67000,0.8481791044776119
2000,8,Kansas City Chiefs,St. Louis Rams,Kansas City Chiefs,,Sun,October 22,1:00PM,54,34,468,0,428,4,Kansas City,St. Louis,79142.0,Arrowhead Stadium,76416,1.0356731574539364
2000,8,Cincinnati Bengals,Denver Broncos,Cincinnati Bengals,,Sun,October 22,1:00PM,31,21,421,1,500,3,Cincinnati,Denver,61603.0,Paycor Stadium,65515,0.9402884835533847
2000,8,Minnesota Vikings,Buffalo Bills,Minnesota Vikings,,Sun,October 22,1:02PM,31,27,348,1,406,1,Minnesota,Buffalo,64116.0,U.S. Bank Stadium,66655,0.9619083339584428
2000,8,Carolina Panthers,San Francisco 49ers,Carolina Panthers,,Sun,October 22,1:02PM,34,16,390,0,411,2,Carolina,San Francisco,73169.0,Bank of America Stadium,74867,0.9773197804105948
2000,8,Baltimore Ravens,Tennessee Titans,Tennessee Titans,,Sun,October 22,1:02PM,14,6,191,2,368,4,Baltimore,Tennessee,69200.0,M&T Bank Stadium,71008,0.9745380802163136
2000,8,Philadelphia Eagles,Chicago Bears,Philadelphia Eagles,,Sun,October 22,1:03PM,13,9,298,2,274,1,Philadelphia,Chicago,65553.0,Lincoln Financial Field,69596,0.9419075808954538
2000,8,Atlanta Falcons,New Orleans Saints,New Orleans Saints,,Sun,October 22,1:05PM,21,19,402,1,278,0,Atlanta,New Orleans,56508.0,Mercedes Benz Stadium,71000,0.795887323943662
2000,8,Oakland Raiders,Seattle Seahawks,Oakland Raiders,,Sun,October 22,4:05PM,31,3,380,1,283,3,Oakland,Seattle,57490.0,Allegiant Stadium,65000,0.8844615384615384
2000,8,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,,Sun,October 22,4:05PM,22,0,248,0,104,3,Pittsburgh,Cleveland,57659.0,Acrisure Stadium,68400,0.84296783625731
2000,8,Jacksonville Jaguars,Washington Redskins,Washington Redskins,,Sun,October 22,4:15PM,35,16,399,2,385,4,Jacksonville,Washington,69061.0,TIAA Bank Field,67246,1.026990452963745
2000,8,Tampa Bay Buccaneers,Detroit Lions,Detroit Lions,,Thu,October 19,8:35PM,28,14,277,0,258,4,Tampa Bay,Detroit,65557.0,Raymond James Stadium,69218,0.9471091334623942
2000,8,New York Jets,Miami Dolphins,New York Jets,,Mon,October 23,9:10PM,40,37,455,4,433,3,New York,Miami,78389.0,MetLife Stadium,82500,0.950169696969697
2000,9,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,,Sun,October 29,1:01PM,41,13,413,0,401,3,Tampa Bay,Minnesota,65589.0,Raymond James Stadium,69218,0.947571440954665
2000,9,Buffalo Bills,New York Jets,Buffalo Bills,,Sun,October 29,1:01PM,23,20,338,0,337,4,Buffalo,New York,72861.0,Highmark Stadium,71608,1.017498044911183
2000,9,Miami Dolphins,Green Bay Packers,Miami Dolphins,,Sun,October 29,1:02PM,28,20,296,1,319,2,Miami,Green Bay,73740.0,Hard Rock Stadium,65326,1.1288001714478155
2000,9,Baltimore Ravens,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 29,1:02PM,9,6,231,1,274,3,Baltimore,Pittsburgh,69405.0,M&T Bank Stadium,71008,0.9774250788643533
2000,9,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,,Sun,October 29,1:02PM,13,12,281,3,209,4,Atlanta,Carolina,46178.0,Mercedes Benz Stadium,71000,0.650394366197183
2000,9,Cleveland Browns,Cincinnati Bengals,Cincinnati Bengals,,Sun,October 29,1:03PM,12,3,253,1,182,1,Cleveland,Cincinnati,73118.0,Huntington Bank Field,67895,1.0769276088077178
2000,9,Indianapolis Colts,Detroit Lions,Indianapolis Colts,,Sun,October 29,2:00PM,30,18,420,5,328,4,Indianapolis,Detroit,56971.0,Lucas Oil Stadium,67000,0.850313432835821
2000,9,Arizona Cardinals,New Orleans Saints,New Orleans Saints,,Sun,October 29,4:05PM,21,10,247,1,394,4,Arizona,New Orleans,35286.0,State Farm Stadium,63400,0.5565615141955836
2000,9,San Francisco 49ers,St. Louis Rams,St. Louis Rams,,Sun,October 29,4:05PM,34,24,447,1,325,0,San Francisco,St. Louis,68109.0,Levi's Stadium,68500,0.9942919708029198
