year,week,home_team_name,away_team_name,day,date,time,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,avg_season_attendance_prev,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,full_date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013,2,Giants,Broncos,Sun,September 15,4:25PM,81285.0,0.773251776524196,80657.0,76870.5625,False,False,False,True,1.0,3.0,23,41,376,414,4,1,-0.2736069814062771,0.19065744754234498,2.063749063369914,1.7338010608864627,0.2527736880004355,-0.5457051563317493,2013-09-15,15.7,8.9,22.8,0.0,,,5.4,,1020.6,
2013,5,Giants,Eagles,Sun,October 6,1:02PM,80738.0,0.7680482491604912,81285.0,76870.5625,False,False,False,False,0.0,0.0,21,36,383,439,4,0,-0.4171385126357995,0.25556211053548367,2.063749063369914,2.4870144679626254,1.0335969835282786,-1.504512612462322,2013-10-06,20.6,19.4,22.2,,,114.0,10.4,,,
2013,7,Giants,Vikings,Mon,October 21,8:40PM,79314.0,0.7545019548900791,80738.0,76870.5625,False,False,False,True,0.0,1.0,23,7,257,206,1,3,-0.2736069814062771,-0.9127218233410131,-0.23997082132208303,-2.1944101919414325,-1.7672657362235034,1.4288436151850392,2013-10-21,13.7,6.7,21.1,0.0,,,8.0,,1018.3,
2013,10,Giants,Raiders,Sun,November 10,1:03PM,80366.0,0.764509470039288,79314.0,76870.5625,False,False,False,False,2.0,1.0,24,20,251,213,3,2,-0.20184121579151587,-0.9683543916208464,1.2958424351392483,0.2267389539839081,-1.575593932097113,0.3916747259003202,2013-11-10,10.2,4.4,16.7,,,250.0,18.6,,1013.4,
2013,11,Giants,Packers,Sun,November 17,4:25PM,79114.0,0.7525993854700773,80366.0,76870.5625,False,False,False,True,3.0,1.0,27,13,334,394,1,3,0.013456081052767724,-0.19877053041648732,-0.23997082132208303,-1.3174831669449938,0.5271306502147938,2.7386127875258306,2013-11-17,13.9,9.0,18.3,,,,3.0,,,
2013,12,Giants,Cowboys,Sun,November 24,4:25PM,80499.0,0.7657746787035892,79114.0,76870.5625,False,False,False,False,3.0,1.0,21,24,356,311,1,1,-0.4171385126357995,0.005215553276234361,-0.23997082132208303,0.05817625404145604,-0.8933150251671119,-0.46177943031397967,2013-11-24,-2.7,-4.4,-0.6,0.0,,304.0,26.7,,1022.2,
2013,15,Giants,Seahawks,Sun,December 15,1:03PM,79691.0,0.7580882982467823,80499.0,76870.5625,False,False,False,True,1.0,2.0,0,23,181,327,5,1,-1.9242195905457846,-1.6174010215522334,2.8316556916005795,-0.1989135997372891,-0.3141915893865988,-0.1149096399442304,2013-12-15,2.0,-0.6,4.4,8.9,,300.0,13.1,,1004.4,
2013,17,Giants,Redskins,Sun,December 29,1:04PM,80177.0,0.7627115419373864,79691.0,76870.5625,False,False,False,True,1.0,0.0,20,6,278,251,3,4,-0.48890427825056065,-0.718007834361597,1.2958424351392483,-2.349536967336372,-2.0934823976727364,3.049687727964166,2013-12-29,5.6,2.2,8.3,,,,8.7,,,
2014,2,Giants,Cardinals,Sun,September 14,1:04PM,78344.0,0.7452744932030707,80177.0,75595.75,False,False,False,False,2.0,2.0,14,25,341,266,4,0,-0.48516367100330793,0.42202460275526316,0.8183170883849714,0.1611157298192141,-1.1833359995496413,-1.4458015864489118,2014-09-14,16.2,10.6,22.2,0.0,,,6.8,,1022.8,
2014,3,Giants,Texans,Sun,September 21,1:02PM,77462.0,0.7368841620608632,78344.0,75595.75,False,False,False,False,1.0,2.0,30,17,419,411,1,3,1.2891491829516468,1.4046490509615475,-1.14564392373896,-0.026149712040956497,0.6703449030821685,0.8592143613796791,2014-09-21,21.6,19.0,25.0,2.5,,,4.8,,,
2014,5,Giants,Falcons,Sun,October 5,1:03PM,80307.0,0.7639482120603875,77462.0,75595.75,False,False,False,False,2.0,1.0,30,20,317,397,2,1,1.2891491829516468,0.11967861869179104,-0.4909902530309828,-0.2679192834780594,0.7877957943717002,-0.6663924874789788,2014-10-05,11.2,6.7,16.1,0.0,,264.0,13.4,,1010.1,
2014,9,Giants,Colts,Mon,November 3,8:31PM,77975.0,0.7417642526231676,80307.0,75595.75,False,False,False,True,1.0,2.0,24,40,438,443,1,0,0.6237818627185387,1.6440062883451296,-1.14564392373896,1.6860489800141625,1.6323993484120871,-0.695379487459148,2014-11-03,9.9,3.3,17.2,0.0,,268.0,16.0,,1019.1,
2014,11,Giants,49ers,Sun,November 16,1:03PM,80352.0,0.764376290179888,77975.0,75595.75,False,False,False,True,0.0,1.0,10,16,330,333,5,1,-0.9287418844920465,0.2834493600595051,1.4729707590929484,-0.8295593999954677,0.10493807338117453,-0.09540409712152205,2014-11-16,3.1,-1.1,6.1,,,,6.1,,1025.5,
